ISO3,Obesity
AFG,5.5
ALB,21.7
DZA,27.4
AND,25.6
AGO,8.2
ATG,18.9
ARG,28.3
ARM,20.2
AUS,29.0
AUT,20.1
AZE,19.9
BHS,31.6
BHR,29.8
BGD,3.6
BRB,23.1
BLR,24.5
BEL,22.1
BLZ,24.1
BEN,9.6
BTN,6.4
BOL,20.2
BIH,17.9
BWA,18.9
BRA,22.1
BRN,14.1
BGR,25.0
BFA,5.6
BDI,5.4
CPV,11.8
KHM,3.9
CMR,11.4
CAN,29.4
CAF,7.5
TCD,6.1
CHL,28.0
CHN,6.2
COL,22.3
COM,7.8
COG,9.6
COK,55.9
CRI,25.7
CIV,10.3
HRV,24.4
CUB,24.6
CYP,21.8
CZE,26.0
PRK,6.8
COD,6.7
DNK,19.7
DJI,13.5
DMA,27.9
DOM,27.6
ECU,19.9
EGY,32.0
SLV,24.6
GNQ,8.0
ERI,5.0
EST,21.2
SWZ,16.5
ETH,4.5
FJI,30.2
FIN,22.2
FRA,21.6
GAB,15.0
GMB,10.3
GEO,21.7
DEU,22.3
GHA,10.9
GRC,24.9
GRD,21.3
GTM,21.2
GIN,7.7
GNB,9.5
GUY,20.2
HTI,22.7
HND,21.4
HUN,26.4
ISL,21.9
IND,3.9
IDN,6.9
IRN,25.8
IRQ,30.4
IRL,25.3
ISR,26.1
ITA,19.9
JAM,24.7
JPN,4.3
JOR,35.5
KAZ,21.0
KEN,7.1
KIR,46.0
KWT,37.9
KGZ,16.6
LAO,5.3
LVA,23.6
LBN,32.0
LSO,16.6
LBR,9.9
LBY,32.5
LTU,26.3
LUX,22.6
MDG,5.3
MWI,5.8
MYS,15.6
MDV,8.6
MLI,8.6
MLT,28.9
MHL,52.9
MRT,12.7
MUS,10.8
MEX,28.9
FSM,45.8
MNG,20.6
MNE,23.3
MAR,26.1
MOZ,7.2
MMR,5.8
NAM,17.2
NRU,61.0
NPL,4.1
NLD,20.4
NZL,30.8
NIC,23.7
NER,5.5
NGA,8.9
NIU,50.0
NOR,23.1
OMN,27.0
PAK,8.6
PLW,55.3
PAN,22.7
PNG,21.3
PRY,20.3
PER,19.7
PHL,6.4
POL,23.1
PRT,20.8
QAT,35.1
KOR,4.7
MDA,18.9
ROU,22.5
RUS,23.1
RWA,5.8
KNA,22.9
LCA,19.7
VCT,23.7
WSM,47.3
STP,12.4
SAU,35.4
SEN,8.8
SRB,21.5
SYC,14.0
SLE,8.7
SGP,6.1
SVK,20.5
SVN,20.2
SLB,22.5
SOM,8.3
ZAF,28.3
ESP,23.8
LKA,5.2
SDF,8.6
SUR,26.4
SWE,20.6
CHE,19.5
SYR,27.8
TJK,14.2
THA,10.0
MKD,22.4
TLS,3.8
TGO,8.4
TON,48.2
TTO,18.6
TUN,26.9
TUR,32.1
TKM,18.6
TUV,51.6
UGA,5.3
UKR,24.1
ARE,31.7
GBR,27.8
TZA,8.4
USA,36.2
URY,27.9
UZB,16.6
VUT,25.2
VEN,25.6
VNM,2.1
YEM,17.1
ZMB,8.1
ZWE,15.5
