iso3,60+,40_59,20_39
AFG,4.28,12.6,26.6
ALB,21.1,26.2,27
DZA,10.1,21.5,36.3
AGO,4.15,11.9,27
ATG,12.2,26.8,30.2
ARG,15.9,22.6,30.4
ARM,18.8,24.3,30.8
AUS,21.9,25.2,28.8
AUT,26.5,29.1,26.1
AZE,11.7,25.3,34.1
BHS,15.2,26,32.3
BHR,5.36,23.6,47.3
BGD,7.91,21.6,33.6
BRB,22.9,26.9,27.7
BLR,22.7,27.7,30.3
BEL,25.5,26.8,25.8
BLZ,6.64,19.1,31.4
BEN,5.08,13.5,27.8
BTN,8.02,20.6,36.2
BOL,9.92,18.1,30.8
BIH,24.9,28.5,29.1
BWA,6.83,18.6,35.8
BRA,14,25.4,33.6
BRN,9.58,27.1,37.9
BGR,28.3,28.9,28.1
BFA,3.93,12.3,27.8
BDI,4.59,11.5,27.9
KHM,7.56,16.8,32
CMR,4.76,12.7,29.2
CAN,25.2,26.6,27.4
CPV,7.34,18.1,31.8
CAF,5.45,12.2,28.8
TCD,3.97,10.6,26
CHL,17.4,26,30.7
CHN,17.6,30.6,33.1
COL,13,24.8,32.7
COM,5.12,14.7,30
COD,4.68,12.2,26.6
COG,5.31,15.1,30.3
CRI,15.2,24.8,32
CIV,4.82,13.4,27.6
HRV,28,27.6,26.8
CUB,21.6,32,28.6
CYP,19.8,26,33.4
CZE,26.3,29.5,30.7
DNK,26.2,26.7,24.8
DJI,6.93,18.7,32.9
DOM,11.1,20.6,31.2
ECU,11.3,21,31.8
EGY,8.25,19.3,32.9
SLV,12.2,19.9,29.5
GNQ,4.23,12.5,35.1
ERI,5.2,12.5,30.8
EST,26.9,26.8,28.7
ETH,5.41,13,27.4
FJI,11,22.1,32
FIN,28.7,24.7,24.6
FRA,26.7,25.7,25.6
GAB,6.37,17.2,31.8
GMB,3.91,12,28.1
GEO,21.7,26.5,28.7
DEU,29.2,28.7,24.1
GHA,5.48,15.8,30.4
GRC,27.8,30.5,28.3
GRD,11.3,19.7,34.3
GTM,7.23,15.4,30.1
GIN,5.25,13.4,27.5
GNB,4.97,13.4,29.3
GUY,9.47,22.1,28.9
HTI,7.66,16.9,31.5
HND,7.53,17.8,31.9
HUN,26.8,28.9,28.7
ISL,21.5,24.8,28.7
IND,10.1,21.5,32.1
IDN,9.5,24.1,33.5
IRN,9.87,23.7,40.4
IRQ,4.98,15.1,30.1
IRL,20.2,27.8,32.3
ISR,16.5,21.3,29.1
ITA,30.7,30.5,25
JAM,14.7,22.7,30.6
JPN,34.1,27.6,25.5
JOR,6.04,18.3,32.6
KAZ,11.8,23.1,33.4
KEN,4.5,14,31.1
KIR,6.88,17.6,30.3
KWT,6.14,30.2,45.5
KGZ,8.38,19.6,32.8
LAO,6.72,17.6,31.3
LVA,27.5,27.7,28.5
LBN,13.1,22.2,32.3
LSO,6.56,12.6,31.6
LBR,5.02,14.2,28.7
LBY,7.07,24.4,39.1
LTU,26.5,27.8,27.2
LUX,20.5,28.9,28.1
MDG,5.01,14.2,28.3
MWI,4.19,11.3,28.2
MYS,10.7,21.6,33.9
MDV,7.1,20.4,41
MLI,3.87,11.5,27.2
MLT,27.6,25.8,28.3
MRT,5.25,15.3,29.7
MUS,18.4,28.1,30.3
MEX,10.9,22.8,33.4
FSM,8.6,12.5,28.6
MDA,18.9,26.9,33.4
MNG,7.42,22.8,37.4
MNE,22.6,26.1,28.4
MAR,11.9,22.1,32.1
MOZ,4.85,12.1,27.2
MMR,10.3,23.3,32.4
NAM,5.71,15.2,30.9
NPL,9.05,18.3,28.8
NLD,26.5,27.2,25.1
NZL,22.2,25.3,26.9
NIC,9.34,19.6,33.6
NER,4.24,11.1,23.7
NGA,4.52,13.5,28.4
PRK,15,28.4,30.7
NOR,23.2,26.4,26.5
OMN,4.23,19.2,45.8
PAK,7.04,17.1,31
PSE,4.83,14.3,28.9
PAN,12.3,22.9,31.7
PNG,6.44,17.4,30.6
PRY,10.1,18.1,31.5
PER,11.2,22.1,32.6
PHL,8.23,19.6,30.8
POL,25.8,27,31
PRT,29.3,30,27.4
QAT,3.62,24.3,57.7
ROU,25.8,28.9,29.3
RUS,22.4,27,31.8
RWA,5.27,13.9,31.1
WSM,9.28,17.9,26.8
STP,4.46,14.1,29.5
SAU,6.38,27.9,37.2
SEN,4.72,13.1,29.3
SRB,25.2,26.5,27.7
SYC,14.9,29.2,33.7
SLE,4.18,13.7,29
SGP,22.3,31.5,30.2
SVK,23.3,28.8,32.1
SVN,27.8,29.1,28.6
SLB,5.65,16.5,30.4
SOM,4.38,11.6,25.5
ZAF,8.85,20.1,34.2
KOR,23,31.9,30.5
SSD,5.19,13.5,27.9
ESP,27,32.3,29.7
LKA,16.4,25.5,30.8
LCA,15,27.1,31.5
VCT,13.2,24.6,31.9
SDN,5.69,14.3,27.7
SUR,11.2,24,30.9
SWZ,4.94,12.5,31.6
SWE,25.9,25.3,25.7
CHE,25.3,28.7,26.5
SYR,7.58,16.8,33.5
TJK,6.46,16.9,31.9
TZA,4.7,12.4,28
THA,19.1,31.1,31.2
TLS,5.57,12.5,25.3
TGO,4.69,14.5,30
TON,9.05,17.1,28.4
TTO,16.5,26.6,33.6
TUN,13.4,24.7,34.1
TUR,12.9,24.2,32.9
