ISO,Probability
AFG,29.8
ALB,17
DZA,14.2
AGO,16.5
ATG,22.6
ARG,15.8
ARM,22.3
AUS,9.1
AUT,11.4
AZE,22.2
BHS,15.5
BHR,11.3
BGD,21.6
BRB,16.2
BLR,23.7
BEL,11.4
BLZ,22.1
BEN,19.6
BTN,23.3
BOL,17.2
BIH,17.8
BWA,20.3
BRA,16.6
BRN,16.6
BGR,23.6
BFA,21.7
BDI,22.9
CPV,17.2
KHM,21.1
CMR,21.6
CAN,9.8
CAF,23.1
TCD,23.9
CHL,12.4
CHN,17
COL,15.8
COM,22.9
COG,16.7
CRI,11.5
CIV,29.1
HRV,16.7
CUB,16.4
CYP,11.3
CZE,15
PRK,25.6
COD,19.4
DNK,11.3
DJI,19.6
DOM,19
ECU,13
EGY,27.7
SLV,14
GNQ,22
ERI,23.9
EST,17
SWZ,26.7
ETH,18.3
FJI,30.6
FIN,10.2
FRA,10.6
GAB,14.4
GMB,20.4
GEO,24.9
DEU,12.1
GHA,20.8
GRC,12.4
GRD,21.4
GTM,14.9
GIN,22.4
GNB,20
GUY,30.5
HTI,26.5
HND,14
HUN,23
ISL,9.1
IND,23.3
IDN,26.4
IRN,14.8
IRQ,21.3
IRL,10.3
ISR,9.6
ITA,9.5
JAM,14.7
JPN,8.4
JOR,19.2
KAZ,26.8
KEN,13.4
KIR,28.4
KWT,17.4
KGZ,24.9
LAO,27
LVA,21.9
LBN,17.9
LSO,26.6
LBR,17.6
LBY,20.1
LTU,20.7
LUX,10
MDG,22.9
MWI,16.4
MYS,17.2
MDV,13.4
MLI,24.6
MLT,10.8
MRT,18.1
MUS,22.6
MEX,15.7
FSM,26.1
MNG,30.2
MNE,20.6
MAR,12.4
MOZ,18.4
MMR,24.2
NAM,21.3
NPL,21.8
NLD,11.2
NZL,10.1
NIC,14.2
NER,20
NGA,22.5
NOR,9.2
OMN,17.8
PAK,24.7
PAN,13
PNG,30
PRY,17.5
PER,12.6
PHL,26.8
POL,18.7
PRT,11.1
QAT,15.3
KOR,7.8
MDA,24.9
ROU,21.4
RUS,25.4
RWA,18.2
LCA,18.8
VCT,23.2
WSM,20.6
STP,18.5
SAU,16.4
SEN,18.1
SRB,19.1
SYC,21.2
SLE,30.5
SGP,9.3
SVK,17.2
SVN,12.7
SLB,23.8
SOM,21.8
ZAF,26.2
SSD,19.8
ESP,9.9
LKA,17.4
SDN,26
SUR,21.7
SWE,9.1
CHE,8.6
SYR,21.8
TJK,25.3
THA,14.5
MKD,20.3
TLS,19.9
TGO,23.6
TON,23.3
TTO,21.3
TUN,16.1
TUR,16.1
TKM,29.5
UGA,21.9
UKR,24.7
ARE,16.8
GBR,10.9
TZA,17.9
USA,14.6
URY,16.7
UZB,24.5
VUT,23.3
VEN,18.1
VNM,17.1
YEM,30.6
ZMB,17.9
ZWE,19.3
